_id,userId,startDate,endDate,projectId,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,total
66167831d969750d958ad9bf,JMAN379,08-01-2024,14-01-2024,PROJ13614,3,8,4,6,7,10,7,4,10,2,61
66167831d969750d958ad9c0,JMAN379,08-01-2024,14-01-2024,PROJ13614,1,10,7,9,6,6,7,10,3,3,62
66167831d969750d958ad9c1,JMAN379,08-01-2024,14-01-2024,PROJ13614,5,4,4,1,10,1,8,6,9,3,51
66167831d969750d958ad9c2,JMAN379,08-01-2024,14-01-2024,PROJ13614,7,5,6,9,6,5,5,7,1,3,54
66167831d969750d958ad9c3,JMAN379,08-01-2024,14-01-2024,PROJ13614,6,8,3,8,10,7,9,4,5,10,70
66167831d969750d958ad9c4,JMAN379,15-01-2024,21-01-2024,PROJ13614,6,4,10,7,1,7,7,5,2,9,58
66167831d969750d958ad9c5,JMAN379,15-01-2024,21-01-2024,PROJ13614,3,2,7,7,8,9,3,9,8,1,57
66167831d969750d958ad9c6,JMAN379,15-01-2024,21-01-2024,PROJ13614,8,9,8,9,5,4,9,7,5,6,70
66167831d969750d958ad9c7,JMAN379,15-01-2024,21-01-2024,PROJ13614,10,5,6,6,7,7,9,6,5,1,62
66167831d969750d958ad9c8,JMAN379,15-01-2024,21-01-2024,PROJ13614,8,6,3,10,10,6,3,8,2,1,57
66167831d969750d958ad9c9,JMAN379,22-01-2024,28-01-2024,PROJ13614,10,10,10,9,1,3,7,6,1,2,59
66167831d969750d958ad9ca,JMAN379,22-01-2024,28-01-2024,PROJ13614,5,4,3,9,10,9,5,10,10,9,74
66167831d969750d958ad9cb,JMAN379,22-01-2024,28-01-2024,PROJ13614,6,4,8,1,8,8,9,2,1,10,57
66167831d969750d958ad9cc,JMAN379,29-01-2024,04-02-2024,PROJ13614,1,10,7,1,8,7,6,10,6,4,60
66167831d969750d958ad9cd,JMAN379,29-01-2024,04-02-2024,PROJ13614,9,2,3,6,10,7,3,4,5,2,51
66167831d969750d958ad9ce,JMAN379,29-01-2024,04-02-2024,PROJ13614,8,8,10,1,1,2,1,10,2,7,50
66167831d969750d958ad9cf,JMAN379,29-01-2024,04-02-2024,PROJ13614,10,3,2,4,5,6,5,10,8,1,54
66167831d969750d958ad9d0,JMAN379,29-01-2024,04-02-2024,PROJ13614,5,3,3,5,4,6,1,5,6,10,48
66167831d969750d958ad9d1,JMAN379,05-02-2024,11-02-2024,PROJ13614,9,10,3,3,9,9,1,5,3,9,61
66167831d969750d958ad9d2,JMAN379,05-02-2024,11-02-2024,PROJ13614,7,10,9,5,10,10,9,2,6,1,69
66167831d969750d958ad9d3,JMAN379,05-02-2024,11-02-2024,PROJ13614,1,5,9,3,9,1,5,4,1,1,39
66167831d969750d958ad9d4,JMAN379,05-02-2024,11-02-2024,PROJ13614,6,2,8,5,1,4,5,3,10,9,53
66167831d969750d958ad9d5,JMAN379,05-02-2024,11-02-2024,PROJ13614,8,8,5,5,4,8,7,4,7,8,64
66167831d969750d958ad9d6,JMAN379,12-02-2024,18-02-2024,PROJ13614,10,1,6,4,8,5,1,6,6,6,53
66167831d969750d958ad9d7,JMAN379,12-02-2024,18-02-2024,PROJ13614,9,1,10,7,5,7,7,5,1,6,58
66167831d969750d958ad9d8,JMAN379,12-02-2024,18-02-2024,PROJ13614,5,3,2,1,1,9,5,8,6,8,48
66167831d969750d958ad9d9,JMAN379,12-02-2024,18-02-2024,PROJ13614,5,1,6,1,1,10,2,5,10,4,45
66167831d969750d958ad9da,JMAN379,19-02-2024,25-02-2024,PROJ13614,5,4,1,8,6,3,4,7,2,10,50
66167831d969750d958ad9db,JMAN379,19-02-2024,25-02-2024,PROJ13614,9,1,2,4,10,3,7,3,10,4,53
66167831d969750d958ad9dc,JMAN379,19-02-2024,25-02-2024,PROJ13614,5,6,4,2,10,2,7,3,6,10,55
66167831d969750d958ad9dd,JMAN379,19-02-2024,25-02-2024,PROJ13614,4,8,7,10,5,10,10,9,2,10,75
66167831d969750d958ad9de,JMAN379,19-02-2024,25-02-2024,PROJ13614,1,9,3,3,5,9,4,3,8,3,48
66167831d969750d958ad9df,JMAN379,26-02-2024,03-03-2024,PROJ13614,7,6,1,7,9,1,2,5,9,1,48
66167831d969750d958ad9e0,JMAN379,26-02-2024,03-03-2024,PROJ13614,3,1,9,1,10,8,3,1,5,5,46
66167831d969750d958ad9e1,JMAN379,26-02-2024,03-03-2024,PROJ13614,3,8,1,4,6,10,2,9,7,6,56
66167831d969750d958ad9e2,JMAN379,04-03-2024,10-03-2024,PROJ13614,7,2,4,9,4,9,9,6,9,7,66
66167831d969750d958ad9e3,JMAN379,04-03-2024,10-03-2024,PROJ13614,1,2,8,10,6,2,7,10,6,3,55
66167831d969750d958ad9e4,JMAN379,04-03-2024,10-03-2024,PROJ13614,9,8,9,4,9,4,9,1,8,4,65
66167831d969750d958ad9e5,JMAN379,04-03-2024,10-03-2024,PROJ13614,5,9,1,2,2,6,3,4,8,2,42
66167831d969750d958ad9e6,JMAN379,04-03-2024,10-03-2024,PROJ13614,6,9,9,2,2,3,3,6,8,2,50
66167831d969750d958ad9e7,JMAN678,05-02-2024,11-02-2024,PROJ13614,9,9,9,6,1,9,10,7,9,10,79
66167831d969750d958ad9e8,JMAN678,05-02-2024,11-02-2024,PROJ13614,5,6,2,6,7,10,6,1,7,7,57
66167831d969750d958ad9e9,JMAN678,05-02-2024,11-02-2024,PROJ13614,5,10,8,9,8,1,9,3,6,4,63
66167831d969750d958ad9ea,JMAN678,12-02-2024,18-02-2024,PROJ13614,5,5,5,5,10,7,8,10,9,9,73
